Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,50,0,19,30.258273360000036,9.754083999999885,98.31349999999995,455.0,0.844698140561028,0.0,19,25,29,69,78,79,98,98,98,98,98
GET,/auth/me,448,0,4,11.668343379464362,1.6850420000018573,535.0757089999992,35.0,7.568495339426811,0.0,4,6,8,9,15,25,65,250,540,540,540
POST,/evaluate,788,0,5,15.205198596446651,1.6412920000021813,1117.059875,651.0,13.312442695241801,0.0,5,6,7,8,14,23,44,360,1100,1100,1100
GET,/health,2119,0,5,11.030881066540829,1.9968750000032287,494.4575409999992,223.0,35.79830719697637,0.0,5,7,9,10,15,22,47,190,440,490,490
GET,/model/drift,427,0,19,38.04512286651052,6.609292000000266,558.1827920000002,305.0,7.2137221203911785,0.0,19,33,40,47,74,120,220,370,560,560,560
GET,/model/metrics,896,0,9,17.382546712053706,2.5505829999978857,469.3056670000004,781.0,15.136990678853621,0.0,9,14,18,21,32,51,87,210,470,470,470
GET,/model/status,416,0,6,14.087917545672916,2.023250000000587,511.3886660000002,349.0,7.027888529467753,0.0,6,8,10,11,20,30,100,230,510,510,510
POST,/predict,1268,0,480.0,684.9432987594645,84.42337500000008,4661.401667000001,157.0,21.421544844627668,0.0,480,730,910,1000,1500,1900,2400,2800,4300,4700,4700
,Aggregated,6412,0,8,147.89225995321263,1.6412920000021813,4661.401667000001,342.83000623830316,108.32408954554623,0.0,8,15,35,140,480,910,1400,1900,2900,4700,4700
