Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,20,0,9,28.176133249689883,4.864415997872129,91.26812500107917,455.0,0.6882890776579876,0.0,9,13,84,84,90,91,91,91,91,91,91
GET,/auth/me,94,0,2,19.154496021230365,1.3452499988488853,1472.43487599917,35.0,3.234958664992542,0.0,2,4,5,5,8,10,16,1500,1500,1500,1500
POST,/evaluate,183,1,3,30.14249615855496,1.2707089990726672,1740.820667000662,646.448087431694,6.297845060570587,0.03441445388289938,3,3,4,5,7,15,800,1200,1700,1700,1700
GET,/health,487,3,3,27.691057406605395,1.274457998079015,1921.1367510033597,223.61396303901438,16.759839040972,0.10324336164869816,3,4,5,6,8,14,85,1400,1900,1900,1900
GET,/model/drift,76,0,12,26.477368499734823,5.776874997536652,399.9537089985097,305.0,2.6154984951003533,0.0,12,19,28,32,52,78,140,400,400,400,400
GET,/model/metrics,191,3,3,34.54789206272397,1.8432920005579945,1919.9237929969968,768.7329842931937,6.573160691633782,0.10324336164869816,3,5,7,9,13,20,200,1800,1900,1900,1900
GET,/model/status,123,0,3,33.53891638228864,1.3557090023823548,1936.7397510031878,349.0,4.232977827596624,0.0,3,4,5,6,11,14,86,1500,1900,1900,1900
POST,/predict,314,2,170,237.0841388885982,76.64704200215056,2328.512126001442,156.0,10.806138519230407,0.06882890776579877,170,200,240,270,330,440,1700,1900,2300,2300,2300
,Aggregated,1488,9,5,72.94778276950491,1.2707089990726672,2328.512126001442,337.0356182795699,51.20870737775428,0.30973008494609444,5,8,28,110,180,280,520,1600,2300,2300,2300
